,Disciplina,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
56,"ENGINEERING, OCEAN",2,2,100,0,1.0,2010
57,ENTOMOLOGY,20,25,78,22,0.8,2010
58,ENVIRONMENTAL SCIENCES,38,76,71,29,0.5,2010
59,ENVIRONMENTAL STUDIES,6,9,78,22,0.7,2010
60,ETHICS,1,1,0,100,1.0,2010
61,EVOLUTIONARY BIOLOGY,10,20,70,30,0.5,2010
62,FISHERIES,19,35,69,31,0.5,2010
63,FOOD SCIENCE & TECHNOLOGY,20,56,56,44,0.4,2010
64,FORESTRY,24,44,67,33,0.5,2010
65,GASTROENTEROLOGY & HEPATOLOGY,3,7,71,29,0.4,2010
66,GENETICS & HEREDITY,12,27,58,42,0.4,2010
67,GEOCHEMISTRY & GEOPHYSICS,11,14,86,14,0.8,2010
68,GEOGRAPHY,3,6,67,33,0.5,2010
69,"GEOGRAPHY, PHYSICAL",3,9,56,44,0.3,2010
70,GEOLOGY,19,28,86,14,0.7,2010
71,"GEOSCIENCES, MULTIDISCIPLINARY",16,25,88,12,0.6,2010
72,HEALTH CARE SCIENCES & SERVICES,2,3,33,67,0.7,2010
73,HEMATOLOGY,2,5,33,67,0.4,2010
74,HISTORY,2,2,50,50,1.0,2010
75,HORTICULTURE,4,9,56,44,0.4,2010
76,"HUMANITIES, MULTIDISCIPLINARY",8,8,63,38,1.0,2010
77,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,1,2,100,0,0.5,2010
78,IMMUNOLOGY,3,7,57,43,0.4,2010
79,INFECTIOUS DISEASES,11,28,33,67,0.4,2010
80,INSTRUMENTS & INSTRUMENTATION,3,7,100,0,0.4,2010
81,INTEGRATIVE & COMPLEMENTARY MEDICINE,13,19,79,21,0.7,2010
82,INTERNATIONAL RELATIONS,1,3,100,0,0.3,2010
83,LANGUAGE & LINGUISTICS,13,21,48,52,0.6,2010
84,LAW,1,1,100,0,1.0,2010
85,LIMNOLOGY,2,5,100,0,0.4,2010
86,LINGUISTICS,13,21,48,52,0.6,2010
87,LITERATURE,13,10,70,30,1.3,2010
88,"LITERATURE, ROMANCE",13,10,70,30,1.3,2010
89,MANAGEMENT,5,8,75,25,0.6,2010
90,MARINE & FRESHWATER BIOLOGY,53,92,70,30,0.6,2010
91,"MATERIALS SCIENCE, BIOMATERIALS",2,6,67,33,0.3,2010
92,"MATERIALS SCIENCE, CERAMICS",5,4,75,25,1.3,2010
93,"MATERIALS SCIENCE, COATINGS & FILMS",2,6,67,33,0.3,2010
94,"MATERIALS SCIENCE, COMPOSITES",3,7,71,29,0.4,2010
95,"MATERIALS SCIENCE, MULTIDISCIPLINARY",17,22,75,25,0.8,2010
96,"MATERIALS SCIENCE, PAPER & WOOD",10,26,76,24,0.4,2010
97,"MATERIALS SCIENCE, TEXTILES",1,4,67,33,0.3,2010
98,MATHEMATICAL & COMPUTATIONAL BIOLOGY,5,5,80,20,1.0,2010
99,MATHEMATICS,65,51,84,16,1.3,2010
100,"MATHEMATICS, APPLIED",43,31,90,10,1.4,2010
101,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",6,9,89,11,0.7,2010
102,MECHANICS,6,5,100,0,1.2,2010
103,MEDICAL INFORMATICS,1,1,100,0,1.0,2010
104,MEDICAL LABORATORY TECHNOLOGY,3,12,58,42,0.3,2010
105,"MEDICINE, GENERAL & INTERNAL",17,39,49,51,0.4,2010
106,"MEDICINE, LEGAL",1,4,50,50,0.3,2010
107,"MEDICINE, RESEARCH & EXPERIMENTAL",5,17,33,67,0.3,2010
108,METALLURGY & METALLURGICAL ENGINEERING,18,21,85,15,0.9,2010
109,METEOROLOGY & ATMOSPHERIC SCIENCES,6,12,92,8,0.5,2010
110,MICROBIOLOGY,6,20,55,45,0.3,2010
111,MICROSCOPY,1,8,50,50,0.1,2010
112,MINERALOGY,4,7,71,29,0.6,2010
113,MINING & MINERAL PROCESSING,3,6,67,33,0.5,2010
114,MULTIDISCIPLINARY SCIENCES,8,16,100,0,0.5,2010
115,MYCOLOGY,1,2,100,0,0.5,2010
116,NANOSCIENCE & NANOTECHNOLOGY,4,6,67,33,0.7,2010
117,NEUROSCIENCES,5,23,52,48,0.2,2010
118,NURSING,2,3,0,100,0.7,2010
119,NUTRITION & DIETETICS,5,12,67,33,0.4,2010
120,OBSTETRICS & GYNECOLOGY,9,25,54,46,0.4,2010
121,OCEANOGRAPHY,46,90,69,31,0.5,2010
122,ONCOLOGY,5,7,80,20,0.7,2010
123,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,2,3,100,0,0.7,2010
124,OPTICS,21,27,96,4,0.8,2010
125,ORTHOPEDICS,1,1,100,0,1.0,2010
126,OTORHINOLARYNGOLOGY,1,1,100,0,1.0,2010
127,PALEONTOLOGY,3,2,100,0,1.5,2010
128,PARASITOLOGY,5,6,50,50,0.8,2010
129,PATHOLOGY,5,11,29,71,0.5,2010
130,PEDIATRICS,4,9,38,63,0.4,2010
131,PERIPHERAL VASCULAR DISEASE,3,14,50,50,0.2,2010
132,PHARMACOLOGY & PHARMACY,24,38,62,38,0.6,2010
133,PHILOSOPHY,1,1,100,0,1.0,2010
134,"PHYSICS, APPLIED",9,10,78,22,0.9,2010
135,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",15,21,100,0,0.7,2010
136,"PHYSICS, CONDENSED MATTER",4,8,50,50,0.5,2010
137,"PHYSICS, FLUIDS & PLASMAS",2,2,100,0,1.0,2010
138,"PHYSICS, MATHEMATICAL",10,14,92,8,0.7,2010
139,"PHYSICS, MULTIDISCIPLINARY",4,5,100,0,0.8,2010
140,"PHYSICS, NUCLEAR",4,6,100,0,0.7,2010
141,"PHYSICS, PARTICLES & FIELDS",7,12,92,8,0.6,2010
142,PHYSIOLOGY,6,19,56,44,0.3,2010
143,PLANNING & DEVELOPMENT,1,1,100,0,1.0,2010
144,PLANT SCIENCES,39,67,61,39,0.6,2010
145,POLITICAL SCIENCE,1,1,100,0,1.0,2010
146,POLYMER SCIENCE,12,21,62,38,0.6,2010
147,PSYCHIATRY,3,10,50,50,0.3,2010
148,PSYCHOLOGY,11,14,64,36,0.8,2010
149,"PSYCHOLOGY, CLINICAL",7,10,70,30,0.7,2010
150,"PSYCHOLOGY, DEVELOPMENTAL",1,3,67,33,0.3,2010
151,"PSYCHOLOGY, EDUCATIONAL",1,3,67,33,0.3,2010
152,"PSYCHOLOGY, EXPERIMENTAL",1,1,100,0,1.0,2010
153,"PSYCHOLOGY, MULTIDISCIPLINARY",1,1,0,100,1.0,2010
154,"PSYCHOLOGY, SOCIAL",1,1,0,100,1.0,2010
155,PUBLIC ADMINISTRATION,2,3,67,33,0.7,2010
156,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",7,20,55,45,0.4,2010
157,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1,1,100,0,1.0,2010
158,REHABILITATION,4,2,100,0,2.0,2010
159,RELIGION,1,1,100,0,1.0,2010
160,REMOTE SENSING,2,2,100,0,1.0,2010
161,REPRODUCTIVE BIOLOGY,15,28,59,41,0.5,2010
162,RHEUMATOLOGY,2,8,50,50,0.3,2010
163,"SOCIAL SCIENCES, INTERDISCIPLINARY",1,1,100,0,1.0,2010
164,"SOCIAL SCIENCES, MATHEMATICAL METHODS",1,1,100,0,1.0,2010
165,SOCIOLOGY,1,1,100,0,1.0,2010
166,SOIL SCIENCE,7,18,72,28,0.4,2010
167,SPECTROSCOPY,2,2,100,0,1.0,2010
168,SPORT SCIENCES,1,1,100,0,1.0,2010
169,STATISTICS & PROBABILITY,6,5,60,40,1.2,2010
170,SUBSTANCE ABUSE,1,7,86,14,0.1,2010
171,SURGERY,9,25,76,24,0.4,2010
172,THERMODYNAMICS,7,6,83,17,1.2,2010
173,TOXICOLOGY,4,15,60,40,0.3,2010
174,TRANSPLANTATION,2,2,100,0,1.0,2010
175,URBAN STUDIES,3,4,100,0,0.8,2010
176,UROLOGY & NEPHROLOGY,2,3,100,0,0.7,2010
177,VETERINARY SCIENCES,11,24,67,33,0.5,2010
178,VIROLOGY,1,2,50,50,0.5,2010
179,WATER RESOURCES,18,34,85,15,0.5,2010
180,ZOOLOGY,26,42,62,38,0.6,2010
0,ACOUSTICS,3,2,100,0,1.5,2011
1,AGRICULTURAL ECONOMICS & POLICY,1,1,100,0,1.0,2011
2,AGRICULTURAL ENGINEERING,16,38,54,46,0.4,2011
3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2,5,100,0,0.4,2011
4,"AGRICULTURE, MULTIDISCIPLINARY",42,108,66,34,0.4,2011
5,AGRONOMY,44,111,60,40,0.4,2011
6,ANATOMY & MORPHOLOGY,24,40,66,34,0.6,2011
7,ANESTHESIOLOGY,2,4,100,0,0.5,2011
8,ANTHROPOLOGY,2,3,67,33,0.7,2011
9,ARCHAEOLOGY,1,1,100,0,1.0,2011
10,ARCHITECTURE,9,9,67,33,1.0,2011
11,ART,2,2,100,0,1.0,2011
12,ASTRONOMY & ASTROPHYSICS,100,48,81,19,2.1,2011
13,AUTOMATION & CONTROL SYSTEMS,8,10,70,30,0.8,2011
14,BEHAVIORAL SCIENCES,2,2,100,0,1.0,2011
15,BIOCHEMICAL RESEARCH METHODS,5,21,62,38,0.2,2011
16,BIOCHEMISTRY & MOLECULAR BIOLOGY,38,103,64,36,0.4,2011
17,BIODIVERSITY CONSERVATION,25,46,67,33,0.5,2011
18,BIOLOGY,5,7,86,14,0.7,2011
19,BIOPHYSICS,10,37,68,32,0.3,2011
20,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,14,28,61,39,0.5,2011
21,BUSINESS,1,1,0,100,1.0,2011
22,"BUSINESS, FINANCE",1,1,100,0,1.0,2011
23,CARDIAC & CARDIOVASCULAR SYSTEMS,1,2,50,50,0.5,2011
24,CELL BIOLOGY,12,26,54,46,0.5,2011
25,CHEMISTRY,105,175,69,31,0.6,2011
26,"CHEMISTRY, ANALYTICAL",11,29,69,31,0.4,2011
27,"CHEMISTRY, APPLIED",18,28,61,39,0.6,2011
28,"CHEMISTRY, INORGANIC & NUCLEAR",6,10,100,0,0.6,2011
29,"CHEMISTRY, MEDICINAL",9,22,62,38,0.4,2011
30,"CHEMISTRY, MULTIDISCIPLINARY",40,92,64,36,0.4,2011
31,"CHEMISTRY, ORGANIC",7,13,77,23,0.5,2011
32,"CHEMISTRY, PHYSICAL",35,54,77,23,0.6,2011
33,CLINICAL NEUROLOGY,5,8,75,25,0.6,2011
34,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",27,49,82,18,0.6,2011
35,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",2,5,100,0,0.4,2011
36,"COMPUTER SCIENCE, INFORMATION SYSTEMS",13,22,75,25,0.6,2011
37,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",15,27,85,15,0.6,2011
38,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3,6,67,33,0.5,2011
39,"COMPUTER SCIENCE, THEORY & METHODS",24,48,83,17,0.5,2011
40,CONSTRUCTION & BUILDING TECHNOLOGY,5,6,100,0,0.8,2011
41,CRITICAL CARE MEDICINE,2,1,100,0,2.0,2011
42,CRYSTALLOGRAPHY,5,15,53,47,0.3,2011
43,"DENTISTRY, ORAL SURGERY & MEDICINE",1,1,100,0,1.0,2011
44,DERMATOLOGY,1,6,60,40,0.2,2011
45,DEVELOPMENTAL BIOLOGY,12,20,50,50,0.6,2011
46,ECOLOGY,63,98,64,36,0.6,2011
47,ECONOMICS,10,11,100,0,0.9,2011
48,EDUCATION & EDUCATIONAL RESEARCH,2,2,0,100,1.0,2011
49,ELECTROCHEMISTRY,1,2,100,0,0.5,2011
50,ENDOCRINOLOGY & METABOLISM,5,5,40,60,1.0,2011
51,ENERGY & FUELS,8,15,87,13,0.5,2011
52,"ENGINEERING, BIOMEDICAL",3,2,100,0,1.5,2011
53,"ENGINEERING, CHEMICAL",26,42,73,27,0.6,2011
54,"ENGINEERING, CIVIL",10,18,76,24,0.6,2011
55,"ENGINEERING, ELECTRICAL & ELECTRONIC",34,46,95,5,0.7,2011
56,"ENGINEERING, ENVIRONMENTAL",12,30,73,27,0.4,2011
57,"ENGINEERING, INDUSTRIAL",10,21,100,0,0.5,2011
58,"ENGINEERING, MECHANICAL",5,6,100,0,0.8,2011
59,"ENGINEERING, MULTIDISCIPLINARY",13,23,100,0,0.6,2011
60,"ENGINEERING, OCEAN",3,5,100,0,0.6,2011
61,ENTOMOLOGY,8,18,67,33,0.4,2011
62,ENVIRONMENTAL SCIENCES,42,94,68,32,0.4,2011
63,ENVIRONMENTAL STUDIES,3,4,100,0,0.8,2011
64,ERGONOMICS,1,2,100,0,0.5,2011
65,EVOLUTIONARY BIOLOGY,3,5,60,40,0.6,2011
66,FAMILY STUDIES,1,1,0,100,1.0,2011
67,FISHERIES,13,29,52,48,0.4,2011
68,FOOD SCIENCE & TECHNOLOGY,23,47,74,26,0.5,2011
69,FORESTRY,22,37,76,24,0.6,2011
70,GASTROENTEROLOGY & HEPATOLOGY,1,5,60,40,0.2,2011
71,GENETICS & HEREDITY,5,21,62,38,0.2,2011
72,GEOCHEMISTRY & GEOPHYSICS,10,16,81,19,0.6,2011
73,GEOGRAPHY,6,13,77,23,0.5,2011
74,"GEOGRAPHY, PHYSICAL",9,17,81,19,0.5,2011
75,GEOLOGY,18,31,80,20,0.6,2011
76,"GEOSCIENCES, MULTIDISCIPLINARY",14,24,78,22,0.6,2011
77,HEALTH CARE SCIENCES & SERVICES,3,4,50,50,0.8,2011
78,HEALTH POLICY & SERVICES,1,2,100,0,0.5,2011
79,HEMATOLOGY,1,10,70,30,0.1,2011
80,HISTORY,3,3,100,0,1.0,2011
81,HISTORY & PHILOSOPHY OF SCIENCE,2,2,100,0,1.0,2011
82,HORTICULTURE,20,50,78,22,0.4,2011
83,"HOSPITALITY, LEISURE, SPORT & TOURISM",1,3,33,67,0.3,2011
84,"HUMANITIES, MULTIDISCIPLINARY",7,7,86,14,1.0,2011
85,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,2,6,83,17,0.3,2011
86,IMMUNOLOGY,6,16,69,31,0.4,2011
87,INFECTIOUS DISEASES,8,28,56,44,0.3,2011
88,INFORMATION SCIENCE & LIBRARY SCIENCE,4,8,63,38,0.5,2011
89,INSTRUMENTS & INSTRUMENTATION,4,4,75,25,1.0,2011
90,INTEGRATIVE & COMPLEMENTARY MEDICINE,10,26,60,40,0.4,2011
91,LANGUAGE & LINGUISTICS,12,16,38,63,0.8,2011
92,LAW,6,5,60,40,1.2,2011
93,LIMNOLOGY,2,4,50,50,0.5,2011
94,LINGUISTICS,12,16,38,63,0.8,2011
95,LITERATURE,8,7,86,14,1.1,2011
96,"LITERATURE, ROMANCE",8,7,86,14,1.1,2011
97,MANAGEMENT,2,2,100,0,1.0,2011
98,MARINE & FRESHWATER BIOLOGY,51,95,56,44,0.5,2011
99,"MATERIALS SCIENCE, BIOMATERIALS",2,6,67,33,0.3,2011
100,"MATERIALS SCIENCE, CERAMICS",2,1,100,0,2.0,2011
101,"MATERIALS SCIENCE, COATINGS & FILMS",1,1,0,100,1.0,2011
102,"MATERIALS SCIENCE, MULTIDISCIPLINARY",19,29,76,24,0.7,2011
103,"MATERIALS SCIENCE, PAPER & WOOD",8,11,55,45,0.7,2011
104,MATHEMATICAL & COMPUTATIONAL BIOLOGY,4,9,78,22,0.4,2011
105,MATHEMATICS,66,55,87,13,1.2,2011
106,"MATHEMATICS, APPLIED",34,31,94,6,1.1,2011
107,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",8,10,90,10,0.8,2011
108,MECHANICS,11,17,100,0,0.6,2011
109,MEDICAL LABORATORY TECHNOLOGY,4,26,54,46,0.2,2011
110,"MEDICINE, GENERAL & INTERNAL",14,29,76,24,0.5,2011
111,"MEDICINE, RESEARCH & EXPERIMENTAL",2,7,71,29,0.3,2011
112,METALLURGY & METALLURGICAL ENGINEERING,10,14,71,29,0.7,2011
113,METEOROLOGY & ATMOSPHERIC SCIENCES,7,11,82,18,0.6,2011
114,MICROBIOLOGY,15,39,51,49,0.4,2011
115,MINING & MINERAL PROCESSING,1,1,100,0,1.0,2011
116,MULTIDISCIPLINARY SCIENCES,19,45,67,33,0.4,2011
117,MYCOLOGY,2,5,80,20,0.4,2011
118,NANOSCIENCE & NANOTECHNOLOGY,7,12,75,25,0.6,2011
119,NEUROIMAGING,1,1,0,100,1.0,2011
120,NEUROSCIENCES,10,27,63,37,0.4,2011
121,NUCLEAR SCIENCE & TECHNOLOGY,1,1,100,0,1.0,2011
122,NURSING,1,3,33,67,0.3,2011
123,NUTRITION & DIETETICS,7,15,21,79,0.5,2011
124,OBSTETRICS & GYNECOLOGY,13,21,48,52,0.6,2011
125,OCEANOGRAPHY,43,82,65,35,0.5,2011
126,ONCOLOGY,1,1,0,100,1.0,2011
127,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,9,10,100,0,0.9,2011
128,OPTICS,18,33,88,13,0.5,2011
129,ORNITHOLOGY,3,7,71,29,0.4,2011
130,ORTHOPEDICS,1,1,100,0,1.0,2011
131,PALEONTOLOGY,3,4,50,50,0.8,2011
132,PARASITOLOGY,2,4,50,50,0.5,2011
133,PATHOLOGY,1,1,0,100,1.0,2011
134,PEDIATRICS,2,2,50,50,1.0,2011
135,PERIPHERAL VASCULAR DISEASE,1,2,50,50,0.5,2011
136,PHARMACOLOGY & PHARMACY,26,52,57,43,0.5,2011
137,"PHYSICS, APPLIED",10,12,75,25,0.8,2011
138,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",12,23,91,9,0.5,2011
139,"PHYSICS, CONDENSED MATTER",4,11,50,50,0.4,2011
140,"PHYSICS, FLUIDS & PLASMAS",5,10,90,10,0.5,2011
141,"PHYSICS, MATHEMATICAL",6,11,91,9,0.5,2011
142,"PHYSICS, MULTIDISCIPLINARY",8,11,100,0,0.7,2011
143,"PHYSICS, NUCLEAR",3,2,100,0,1.5,2011
144,"PHYSICS, PARTICLES & FIELDS",8,11,82,18,0.7,2011
145,PHYSIOLOGY,6,10,70,30,0.6,2011
146,PLANT SCIENCES,50,97,67,33,0.5,2011
147,POLITICAL SCIENCE,4,3,67,33,1.3,2011
148,POLYMER SCIENCE,21,33,63,38,0.6,2011
149,PSYCHIATRY,2,2,50,50,1.0,2011
150,PSYCHOLOGY,14,19,68,32,0.7,2011
151,"PSYCHOLOGY, CLINICAL",8,7,71,29,1.1,2011
152,"PSYCHOLOGY, MULTIDISCIPLINARY",6,15,67,33,0.4,2011
153,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",6,16,38,63,0.4,2011
154,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",5,3,67,33,1.7,2011
155,REHABILITATION,3,1,100,0,3.0,2011
156,REMOTE SENSING,5,13,85,15,0.4,2011
157,REPRODUCTIVE BIOLOGY,11,17,47,53,0.6,2011
158,"SOCIAL SCIENCES, BIOMEDICAL",1,2,50,50,0.5,2011
159,"SOCIAL SCIENCES, INTERDISCIPLINARY",1,1,0,100,1.0,2011
160,"SOCIAL SCIENCES, MATHEMATICAL METHODS",1,1,100,0,1.0,2011
161,SOCIOLOGY,1,1,100,0,1.0,2011
162,SOIL SCIENCE,8,15,69,31,0.5,2011
163,SPECTROSCOPY,5,10,80,20,0.5,2011
164,STATISTICS & PROBABILITY,8,8,75,25,1.0,2011
165,SURGERY,16,48,83,17,0.3,2011
166,THERMODYNAMICS,11,11,91,9,1.0,2011
167,TOXICOLOGY,6,25,52,48,0.2,2011
168,TRANSPORTATION,3,3,67,33,1.0,2011
169,TRANSPORTATION SCIENCE & TECHNOLOGY,3,3,67,33,1.0,2011
170,URBAN STUDIES,1,1,100,0,1.0,2011
171,UROLOGY & NEPHROLOGY,2,2,0,100,1.0,2011
172,VETERINARY SCIENCES,9,20,65,35,0.5,2011
173,WATER RESOURCES,12,32,74,26,0.4,2011
174,ZOOLOGY,24,49,57,43,0.5,2011
0,ACOUSTICS,1,1,100,0,1.0,2012
1,AGRICULTURAL ECONOMICS & POLICY,2,3,33,67,0.7,2012
2,AGRICULTURAL ENGINEERING,5,13,50,50,0.4,2012
3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",5,19,61,39,0.3,2012
4,"AGRICULTURE, MULTIDISCIPLINARY",34,84,67,33,0.4,2012
5,AGRONOMY,30,62,71,29,0.5,2012
6,ANATOMY & MORPHOLOGY,16,20,84,16,0.8,2012
7,ANESTHESIOLOGY,3,4,100,0,0.8,2012
8,ANTHROPOLOGY,2,2,100,0,1.0,2012
9,ARCHAEOLOGY,1,1,100,0,1.0,2012
10,ARCHITECTURE,3,6,50,50,0.5,2012
11,AREA STUDIES,2,3,0,100,0.7,2012
12,ASTRONOMY & ASTROPHYSICS,118,57,84,16,2.1,2012
13,AUTOMATION & CONTROL SYSTEMS,15,13,100,0,1.2,2012
14,BEHAVIORAL SCIENCES,2,2,100,0,1.0,2012
15,BIOCHEMICAL RESEARCH METHODS,4,16,69,31,0.3,2012
16,BIOCHEMISTRY & MOLECULAR BIOLOGY,43,133,62,38,0.3,2012
17,BIODIVERSITY CONSERVATION,21,42,67,33,0.5,2012
18,BIOLOGY,12,24,61,39,0.5,2012
19,BIOPHYSICS,7,18,67,33,0.4,2012
20,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,16,42,55,45,0.4,2012
21,BUSINESS,4,4,50,50,1.0,2012
22,CARDIAC & CARDIOVASCULAR SYSTEMS,3,13,38,62,0.2,2012
23,CELL BIOLOGY,16,30,62,38,0.5,2012
24,CHEMISTRY,94,173,65,35,0.5,2012
25,"CHEMISTRY, ANALYTICAL",9,29,69,31,0.3,2012
26,"CHEMISTRY, APPLIED",14,38,54,46,0.4,2012
27,"CHEMISTRY, INORGANIC & NUCLEAR",2,7,100,0,0.3,2012
28,"CHEMISTRY, MEDICINAL",9,19,53,47,0.5,2012
29,"CHEMISTRY, MULTIDISCIPLINARY",27,62,59,41,0.4,2012
30,"CHEMISTRY, ORGANIC",14,26,46,54,0.5,2012
31,"CHEMISTRY, PHYSICAL",34,54,80,20,0.6,2012
32,CLASSICS,1,1,100,0,1.0,2012
33,CLINICAL NEUROLOGY,5,4,50,50,1.3,2012
34,COMMUNICATION,1,2,100,0,0.5,2012
35,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",12,17,71,29,0.7,2012
36,"COMPUTER SCIENCE, CYBERNETICS",1,5,100,0,0.2,2012
37,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",2,3,33,67,0.7,2012
38,"COMPUTER SCIENCE, INFORMATION SYSTEMS",15,24,57,43,0.6,2012
39,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",12,25,83,17,0.5,2012
40,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",4,7,71,29,0.6,2012
41,"COMPUTER SCIENCE, THEORY & METHODS",12,23,74,26,0.5,2012
42,CONSTRUCTION & BUILDING TECHNOLOGY,6,11,100,0,0.5,2012
43,CRYSTALLOGRAPHY,7,19,68,32,0.4,2012
44,"DENTISTRY, ORAL SURGERY & MEDICINE",6,16,25,75,0.4,2012
45,DEVELOPMENTAL BIOLOGY,2,8,63,38,0.3,2012
46,ECOLOGY,54,89,69,31,0.6,2012
47,ECONOMICS,10,13,85,15,0.8,2012
48,EDUCATION & EDUCATIONAL RESEARCH,7,11,60,40,0.6,2012
49,"EDUCATION, SCIENTIFIC DISCIPLINES",3,4,100,0,0.8,2012
50,ELECTROCHEMISTRY,4,7,86,14,0.6,2012
51,ENDOCRINOLOGY & METABOLISM,7,29,38,62,0.2,2012
52,ENERGY & FUELS,7,16,94,6,0.4,2012
53,"ENGINEERING, BIOMEDICAL",3,6,100,0,0.5,2012
54,"ENGINEERING, CHEMICAL",30,58,74,26,0.5,2012
55,"ENGINEERING, CIVIL",15,24,91,9,0.6,2012
56,"ENGINEERING, ELECTRICAL & ELECTRONIC",50,72,90,10,0.7,2012
57,"ENGINEERING, ENVIRONMENTAL",11,32,81,19,0.3,2012
58,"ENGINEERING, GEOLOGICAL",4,3,100,0,1.3,2012
59,"ENGINEERING, INDUSTRIAL",15,21,100,0,0.7,2012
60,"ENGINEERING, MECHANICAL",6,10,88,13,0.6,2012
61,"ENGINEERING, MULTIDISCIPLINARY",9,13,83,17,0.7,2012
62,ENTOMOLOGY,9,19,71,29,0.5,2012
63,ENVIRONMENTAL SCIENCES,49,105,67,33,0.5,2012
64,ENVIRONMENTAL STUDIES,5,5,60,40,1.0,2012
65,ERGONOMICS,1,1,100,0,1.0,2012
66,EVOLUTIONARY BIOLOGY,12,16,69,31,0.8,2012
67,"FILM, RADIO, TELEVISION",1,1,100,0,1.0,2012
68,FISHERIES,20,49,63,37,0.4,2012
69,FOOD SCIENCE & TECHNOLOGY,32,71,53,47,0.5,2012
70,FORESTRY,30,62,77,23,0.5,2012
71,GASTROENTEROLOGY & HEPATOLOGY,1,3,0,100,0.3,2012
72,GENETICS & HEREDITY,14,22,60,40,0.6,2012
73,GEOCHEMISTRY & GEOPHYSICS,15,19,79,21,0.8,2012
74,GEOGRAPHY,13,23,57,43,0.6,2012
75,"GEOGRAPHY, PHYSICAL",13,24,71,29,0.5,2012
76,GEOLOGY,25,39,68,32,0.6,2012
77,"GEOSCIENCES, MULTIDISCIPLINARY",24,39,68,32,0.6,2012
78,HEALTH CARE SCIENCES & SERVICES,3,4,50,50,0.8,2012
79,HEALTH POLICY & SERVICES,1,1,100,0,1.0,2012
80,HEMATOLOGY,2,12,75,25,0.2,2012
81,HISTORY,2,2,100,0,1.0,2012
82,HORTICULTURE,19,47,65,35,0.4,2012
83,"HUMANITIES, MULTIDISCIPLINARY",10,12,58,42,0.8,2012
84,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,5,10,90,10,0.5,2012
85,IMMUNOLOGY,3,9,56,44,0.3,2012
86,INFECTIOUS DISEASES,8,33,42,58,0.2,2012
87,INFORMATION SCIENCE & LIBRARY SCIENCE,1,2,50,50,0.5,2012
88,INSTRUMENTS & INSTRUMENTATION,9,11,100,0,0.8,2012
89,INTEGRATIVE & COMPLEMENTARY MEDICINE,7,23,61,39,0.3,2012
90,LANGUAGE & LINGUISTICS,14,21,14,86,0.7,2012
91,LAW,7,5,80,20,1.4,2012
92,LIMNOLOGY,3,6,67,33,0.5,2012
93,LINGUISTICS,14,21,14,86,0.7,2012
94,LITERATURE,12,11,36,64,1.1,2012
95,"LITERATURE, ROMANCE",12,11,36,64,1.1,2012
96,LOGIC,1,1,0,100,1.0,2012
97,MANAGEMENT,5,5,80,20,1.0,2012
98,MARINE & FRESHWATER BIOLOGY,51,85,66,34,0.6,2012
99,"MATERIALS SCIENCE, CERAMICS",3,6,83,17,0.5,2012
100,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",2,3,67,33,0.7,2012
101,"MATERIALS SCIENCE, COATINGS & FILMS",1,3,100,0,0.3,2012
102,"MATERIALS SCIENCE, MULTIDISCIPLINARY",26,49,75,25,0.5,2012
103,"MATERIALS SCIENCE, PAPER & WOOD",17,33,72,28,0.5,2012
104,MATHEMATICAL & COMPUTATIONAL BIOLOGY,5,8,71,29,0.6,2012
105,MATHEMATICS,70,58,80,20,1.2,2012
106,"MATHEMATICS, APPLIED",38,28,82,18,1.4,2012
107,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",5,7,100,0,0.7,2012
108,MECHANICS,5,9,100,0,0.6,2012
109,MEDICAL INFORMATICS,3,3,33,67,1.0,2012
110,MEDICAL LABORATORY TECHNOLOGY,5,8,50,50,0.6,2012
